imdb_id;keylist_fifteen
76759;['android', 'spaceopera', 'rebellion', 'planet', 'rescuemission', 'hermit', 'galaxy', 'jedi', 'smuggler', 'totalitarianism', 'deathstar', 'lightsaber', 'empire', 'theforce', 'galacticwar']
109830;['basedonnovel', 'love', 'friendship', 'flashback', 'familyrelationships', 'mothersonrelationship', 'military', 'vietnamwar', 'vietnam', 'vietnamveteran', 'bully', 'hippie', 'mentallydisabled', 'running', 'hugging']
169547;['nudity', 'femalenudity', 'malenudity', 'comingofage', 'adultery', 'darkcomedy', 'satire', 'marijuana', 'parentchildrelationship', 'loneliness', 'virgin', 'comingout', 'filmmaker', 'midlifecrisis', 'firsttime']
168629;['murder', 'friendship', 'smalltown', 'robbery', 'teacher', 'secret', 'dyinganddeath', 'crime', 'dancing', 'dance', 'usa', 'policeofficer', 'fantasy', 'immigrant', 'debt']
119116;['love', 'alien', 'newyorkcity', 'future', 'shootout', 'priest', 'spacetravel', 'cyborg', 'military', 'spaceopera', 'taxi', 'goodvsevil', 'egypt', 'endoftheworld', 'clone']
17136;['silentfilm', 'dystopia', 'future', 'robot', 'madscientist', 'inventor', 'manvsmachine', 'work', 'worker', 'classsociety', 'destruction', 'metropolis', 'chasescene', 'prophet', 'undergroundworld']
325980;['aftercreditsstinger', 'daughter', 'alcoholic', 'gold', 'pirate', 'marriageproposal', 'exoticisland', 'skeleton', 'mutiny', 'governor', 'swashbuckler', 'caribbean', 'jamaica', 'blacksmith', 'pirateship']
266697;['japan', 'coma', 'martialarts', 'kungfu', 'underworld', 'yakuza', 'sword', 'bride', 'revenge', 'gore', 'femaleyakuza', 'blood', 'wedding', 'samuraisword', 'partanimation']
411705;['sex', 'femalenudity', 'londonengland', 'concert', 'unsimulatedsex', 'rockandroll', 'couple', 'desire', 'sexualfantasy', 'pubichair', 'penis', 'explicitsex', 'blowjob', 'erection', 'condom']
462538;['love', 'duringcreditsstinger', 'fathersonrelationship', 'dysfunctionalfamily', 'alcoholism', 'lake', 'pig', 'alaska', 'firstlove', 'dysfunctionalmarriage', 'quarantine', 'pollution', 'ecology', 'garbage', 'environmentalprotectionagency']
338013;['dejavu', 'regret', 'jealousy', 'amnesia', 'dream', 'operation', 'relationshipproblems', 'love', 'memory', 'brainwashing', 'relationship', 'heartbreak', 'nonlineartimeline', 'lovestory', 'bittersweet']
399146;['violence', 'marriage', 'smalltown', 'robbery', 'lawyer', 'fight', 'familyrelationships', 'mobster', 'mistakenidentity', 'diner', 'doublelife', 'dualidentity', 'self-defense', 'indiana', 'distrust']
120586;['prison', 'rape', 'family', 'losangeles', 'brotherbrotherrelationship', 'school', 'usa', 'brother', 'basketball', 'jail', 'xenophobia', 'fascism', 'skinhead', 'nazism', 'hate']
82971;['nazis', 'treasure', 'treasurehunt', 'savingtheworld', 'egypt', 'archaeologist', 'riddle', 'himalaya', 'archeology', 'cairo', 'nepal', 'moses', 'whip', 'hat', 'medallion']
430051;['berlin', 'malenudity', 'femalenudity', 'hippie', 'sexualobsession', 'freelove', 'swingerclub', 'nudistcamp', 'basedonnovel', 'unsociability', 'cancer', 'teacher', 'scientist', 'malevirgin', 'reproduction']
97576;['fathersonrelationship', 'escape', 'nazis', 'treasure', 'treasurehunt', 'savingtheworld', 'archaeologist', 'venice', 'riddle', 'library', 'archeology', 'holygrail', 'whip', 'entrapment', 'indianajones']
86960;['police', 'losangeles', 'investigation', 'california', 'undercover', 'gunfight', 'carchase', 'swimmingpool', 'weapon', 'mansion', 'stripclub', 'showdown', 'smuggling', 'footchase', 'buddycomedy']
120591;['duringcreditsstinger', 'paris', 'wedding', 'daughter', 'space', 'astronaut', 'lossoffather', 'moon', 'savingtheworld', 'spacemarine', 'nasa', 'selfsacrifice', 'disastermovie', 'asteroid', 'eiffeltowerparis']
92644;['violence', 'police', 'sequel', 'detective', 'losangeles', 'investigation', 'shootout', 'explosion', 'undercover', 'gunfight', 'carchase', 'swimmingpool', 'stripclub', 'buddycop', 'detroit']
172495;['blood', 'fatherdaughterrelationship', 'mothersonrelationship', 'slavery', 'rome', 'combat', 'emperor', 'romanempire', 'battlefield', 'dreamsequence', 'ancientworld', 'gladiator', 'senate', 'arena', 'philosopher']
120735;['alcohol', 'marijuana', 'ambush', 'shotgun', 'rifle', 'piano', 'anger', 'tea', 'joint', 'potsmoking', 'machismo', 'carjacking', 'cocktail', 'cockneyaccent', 'antique']
110413;['murder', 'revenge', 'newyork', 'corruption', 'hitman', 'assassin', 'neighbor', 'cultfilm', 'neo-noir', 'loneliness', 'immigrant', 'training', 'policebrutality', 'lossoffamily', 'tragiclove']
315543;['womandirector', 'hospital', 'extramaritalaffair', 'relationship', 'divorce', 'carcrash', 'secretlove', 'individual', 'disabled', 'denmark', 'desperation', 'senseofguilt', 'chance', 'dogme95', 'paraplegic']
88763;['timetravel', 'terrorist', 'madscientist', 'carrace', 'inventor', 'partner', 'guitar', 'misfit', 'fishoutofwater', 'raceagainsttime', 'destiny', 'lightning', 'teenagelove', 'sportscar', 'escapade']
243862;['venice', 'hotel', 'copenhagen', 'waitress', 'depression', 'italian', 'hairdresser', 'daughter', 'friendship', 'languagecourse', 'priest', 'motherdaughterrelationship', 'dogme95', 'church', 'womandirector']
374546;['dyinganddeath', 'isolation', 'child', 'becominganadult', 'philosophy', 'southkorea', 'countryside', 'buddhism', 'lifeanddeath', 'temple', 'restart', 'buddhistmonk', 'religiouseducation', 'livingtogether', 'penalty']
118715;['kidnapping', 'losangeles', 'marijuana', 'millionaire', 'cowboy', 'vietnamveteran', 'heartattack', 'lsd', 'unemployed', 'bowling', 'nihilism', 'ashes', 'impregnation', 'dude', 'carpet']
120737;['basedonnovel', 'castle', 'mountain', 'uncle', 'swordandsorcery', 'volcano', 'deathofafriend', 'mirror', 'elves', 'wizard', 'fireworks', 'dwarves', 'orcs', 'hobbit', 'middle-earth(tolkien)']
167261;['elves', 'orcs', 'middle-earth(tolkien)', 'hobbit', 'basedonnovel', 'explosive', 'cave', 'fort', 'army', 'mission', 'attack', 'guide', 'wizard', 'ring', 'swordandsorcery']
22913;['revenge', 'infidelity', 'circus', 'clown', 'attemptedmurder', 'beauty', 'dwarves', 'midnightmovie', 'newlywed', 'disability', 'bigotry', 'siamesetwins', 'sideshow', 'toldinflashback', 'trapezeartist']
164756;['upperclass', 'denmark', 'countryside', 'prostitute', 'callgirl', 'manager', 'rape', 'mentallydisabled', 'copenhagen', 'drowning', 'funeral', 'boardingschool', 'dogme95', 'housekeeper', 'disabled']
275491;['friendship', 'gay', 'teacher', 'priest', 'spain', 'boardingschool', 'individual', 'drugabuse', 'sexualabuse', 'catholicism', 'madrid', 'transvestism', 'transsexuality', 'sexualidentity', 'filmbusiness']
115751;['independentfilm', 'prostitute', 'dyinganddeath', 'motherdaughterrelationship', 'priest', 'church', 'faith', 'scotland', 'underdog', 'god', 'society', 'disabled', 'tradition', 'prayer', 'paraplegic']
94625;['savingtheworld', 'totaldestruction', 'megacity', 'streetgang', 'underground', 'general', 'stadium', 'experiment', 'atomicbomb', 'mutation', 'dystopia', 'army', 'cyberpunk', 'motorcyclegang', 'anime']
468569;['superhero', 'basedoncomic', 'superpowers', 'dccomics', 'sadism', 'organizedcrime', 'secretidentity', 'vigilante', 'imax', 'chaos', 'districtattorney', 'crimefighter', 'supervillain', 'scarecrow', 'criminalmastermind']
