;moviename;data;file
47577;This Island Earth;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1956403775', 'SubFileName': 'This.Island.Earth.1955.REMASTERED.720p.BluRay.x264-PSYCHD.srt', 'SubActualCD': '1', 'SubSize': '76016', 'SubHash': '2d2937aceddd8c0b4c565064aca4e418', 'SubLastTS': '01:24:34', 'SubTSGroup': '1', 'InfoReleaseGroup': 'PSYCHD', 'InfoFormat': 'BluRay', 'InfoOther': 'Remastered', 'IDSubtitle': '7832289', 'UserID': '5140732', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2019-07-14 15:03:08', 'SubBad': '0', 'SubRating': '0.0', 'SubSumVotes': '0', 'SubDownloadsCnt': '1235', 'MovieReleaseName': ' This.Island.Earth.1955.REMASTERED.720p.BluRay.x264-PSYCHD', 'MovieFPS': '24.000', 'IDMovie': '6006', 'IDMovieImdb': '47577', 'MovieName': 'This Island Earth', 'MovieNameEng': '', 'MovieYear': '1955', 'MovieImdbRating': '5.9', 'SubFeatured': '0', 'UserNickName': 'hadilan', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'trusted', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '1', 'SeriesIMDBParent': '0', 'SubEncoding': 'ASCII', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': 'd2c7e5c1f4ba88b31ab9ee63d12ca8d4', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19bc0c58/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1956403775.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f5600bc0/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/7832289', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/7832289/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/this-island-earth-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0047577', 'sublanguageid': 'eng'}, 'Score': 33.01235};{'1956403775': '/home/eva/Diploma/os/47577.srt'}
45274;Umberto D.;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1954432923', 'SubFileName': 'Umberto.D.1952.720p.BluRay.x264-PHOBOS.srt', 'SubActualCD': '1', 'SubSize': '41040', 'SubHash': '49c1c52c9502ff0b387d4a539c9d6b63', 'SubLastTS': '01:28:28', 'SubTSGroup': '2', 'InfoReleaseGroup': 'PHOBOS', 'InfoFormat': 'BluRay', 'InfoOther': '', 'IDSubtitle': '5854597', 'UserID': '67148', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2014-10-12 13:17:45', 'SubBad': '0', 'SubRating': '10.0', 'SubSumVotes': '2', 'SubDownloadsCnt': '2037', 'MovieReleaseName': 'Umberto.D.1952.720p.BluRay.x264-PHOBOS', 'MovieFPS': '23.976', 'IDMovie': '464', 'IDMovieImdb': '45274', 'MovieName': 'Umberto D.', 'MovieNameEng': '', 'MovieYear': '1952', 'MovieImdbRating': '8.2', 'SubFeatured': '0', 'UserNickName': 'Theus', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'trusted', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '1', 'SeriesIMDBParent': '0', 'SubEncoding': 'CP1252', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': '912be709a39b43e37f5ebfbc11d2d378', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19b30c53/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1954432923.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f56d0bc4/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/5854597', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/5854597/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/umberto-d-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0045274', 'sublanguageid': 'eng'}, 'Score': 35.02037};{'1954432923': '/home/eva/Diploma/os/45274.srt'}
69704;American Graffiti;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1951698445', 'SubFileName': 'American Graffiti.srt', 'SubActualCD': '1', 'SubSize': '102794', 'SubHash': 'c54e2835eec4cf915a2a539c8d107b2f', 'SubLastTS': '01:44:24', 'SubTSGroup': '1', 'InfoReleaseGroup': '', 'InfoFormat': '', 'InfoOther': '', 'IDSubtitle': '3150851', 'UserID': '107235', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2007-10-02 01:03:01', 'SubBad': '0', 'SubRating': '0.0', 'SubSumVotes': '0', 'SubDownloadsCnt': '10720', 'MovieReleaseName': 'AMERICAN_GRAFFITI', 'MovieFPS': '25.000', 'IDMovie': '3120', 'IDMovieImdb': '69704', 'MovieName': 'American Graffiti', 'MovieNameEng': '', 'MovieYear': '1973', 'MovieImdbRating': '7.4', 'SubFeatured': '0', 'UserNickName': 'funk_soul_brother', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'gold member', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '0', 'SeriesIMDBParent': '0', 'SubEncoding': 'ASCII', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '0', 'QueryCached': 1, 'SubTSGroupHash': 'f10f924ba93b7bc8a2a2c0e876987bc0', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19d70c5d/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1951698445.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f5200bb0/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/3150851', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/3150851/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/american-graffiti-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0069704', 'sublanguageid': 'eng'}, 'Score': 21.1072};{'1951698445': '/home/eva/Diploma/os/69704.srt'}
120902;The X Files;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1955245693', 'SubFileName': 'The.X.Files.Fight.the.Future.1998.Extended.Cut.BluRay.720p.AC3.X264-BMDru.en.srt', 'SubActualCD': '1', 'SubSize': '61297', 'SubHash': '8b86fffbcf1b14d9a1f540061c132e03', 'SubLastTS': '01:54:58', 'SubTSGroup': '1', 'InfoReleaseGroup': 'BMDru', 'InfoFormat': 'BluRay', 'InfoOther': 'Extended', 'IDSubtitle': '6665569', 'UserID': '969697', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2016-06-23 19:28:02', 'SubBad': '0', 'SubRating': '0.0', 'SubSumVotes': '0', 'SubDownloadsCnt': '9375', 'MovieReleaseName': 'The.X.Files.Fight.the.Future.1998.Extended.Cut.BluRay.720p.AC3.X264-BMDru', 'MovieFPS': '23.976', 'IDMovie': '4340', 'IDMovieImdb': '120902', 'MovieName': 'The X Files', 'MovieNameEng': 'Blackwood', 'MovieYear': '1998', 'MovieImdbRating': '7.0', 'SubFeatured': '0', 'UserNickName': 'spaceboy74', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'trusted', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '1', 'SeriesIMDBParent': '0', 'SubEncoding': 'ASCII', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': '6b3fccd3bdba3408dd93800206823b44', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19c40c5a/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1955245693.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f56d0bc4/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/6665569', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/6665569/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/the-x-files-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0120902', 'sublanguageid': 'eng'}, 'Score': 33.09375};{'1955245693': '/home/eva/Diploma/os/120902.srt'}
96446;Willow;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1953518935', 'SubFileName': 'Willow.1988.720p.BluRay.x264-HD4U.srt', 'SubActualCD': '1', 'SubSize': '77241', 'SubHash': 'fb622ad3acfe40a759a316ea31d10c8e', 'SubLastTS': '02:00:34', 'SubTSGroup': '28', 'InfoReleaseGroup': 'HD4U', 'InfoFormat': 'BluRay', 'InfoOther': '', 'IDSubtitle': '4976717', 'UserID': '458171', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2013-05-07 23:07:46', 'SubBad': '0', 'SubRating': '0.0', 'SubSumVotes': '0', 'SubDownloadsCnt': '26589', 'MovieReleaseName': 'Willow.1988.720p.BluRay.x264-HD4U', 'MovieFPS': '23.976', 'IDMovie': '2932', 'IDMovieImdb': '96446', 'MovieName': 'Willow', 'MovieNameEng': '', 'MovieYear': '1988', 'MovieImdbRating': '7.2', 'SubFeatured': '0', 'UserNickName': 'vtn54', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'trusted', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '1', 'SeriesIMDBParent': '0', 'SubEncoding': 'UTF-8', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': 'fe7034c0561a7702ebee343f746cb375', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19c40c5a/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1953518935.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f5740bc2/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/4976717', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/4976717/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/willow-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0096446', 'sublanguageid': 'eng'}, 'Score': 33.26589};{'1953518935': '/home/eva/Diploma/os/96446.srt'}
37558;Brief Encounter;"{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '218739', 'SubFileName': 'Brief.Encounter.1945.iNTERNAL.DVDRip.XviD-NewMov.txt', 'SubActualCD': '1', 'SubSize': '84802', 'SubHash': 'f674c683716422388cdb6e12cd9999c6', 'SubLastTS': '123712', 'SubTSGroup': '10', 'InfoReleaseGroup': 'NewMov.txt', 'InfoFormat': 'DVD', 'InfoOther': '', 'IDSubtitle': '161684', 'UserID': '47419', 'SubLanguageID': 'eng', 'SubFormat': 'sub', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2005-09-05 00:00:00', 'SubBad': '0', 'SubRating': '10.0', 'SubSumVotes': '1', 'SubDownloadsCnt': '2275', 'MovieReleaseName': 'internal.dvdrip.xvid-newmov', 'MovieFPS': '29.970', 'IDMovie': '6120', 'IDMovieImdb': '37558', 'MovieName': 'Brief Encounter', 'MovieNameEng': ""Noel Coward's Brief Encounter"", 'MovieYear': '1945', 'MovieImdbRating': '8.0', 'SubFeatured': '0', 'UserNickName': 'miskon (a)', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'platinum member', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '0', 'SeriesIMDBParent': '0', 'SubEncoding': 'GB18030', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '0', 'SubTSGroupHash': '9a9656f7483a0618734d2a51eeb08974', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-e9850b87/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/218739.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-e97e0b83/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/161684', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/161684/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/brief-encounter-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0037558', 'sublanguageid': 'eng'}, 'Score': 23.02275}";{'218739': '/home/eva/Diploma/os/37558.srt'}
96438;Who Framed Roger Rabbit;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1953419469', 'SubFileName': 'Who.Framed.Roger.Rabbit.1988.720p.BluRay.x264-HD4U.srt', 'SubActualCD': '1', 'SubSize': '89584', 'SubHash': 'd665d3467940a0e03840c6cac782d8b7', 'SubLastTS': '01:36:57', 'SubTSGroup': '42', 'InfoReleaseGroup': 'HD4U', 'InfoFormat': 'BluRay', 'InfoOther': '', 'IDSubtitle': '4876851', 'UserID': '458171', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2013-03-19 13:58:32', 'SubBad': '0', 'SubRating': '10.0', 'SubSumVotes': '2', 'SubDownloadsCnt': '57928', 'MovieReleaseName': 'Who.Framed.Roger.Rabbit.1988.720p.BluRay.x264-HD4U', 'MovieFPS': '23.976', 'IDMovie': '1146', 'IDMovieImdb': '96438', 'MovieName': 'Who Framed Roger Rabbit', 'MovieNameEng': 'Who Shot Roger Rabbit?', 'MovieYear': '1988', 'MovieImdbRating': '7.7', 'SubFeatured': '0', 'UserNickName': 'vtn54', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'trusted', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '1', 'SeriesIMDBParent': '0', 'SubEncoding': 'UTF-8', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': 'c5a1e250d69479c671b80043e538e6c8', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19bd0c5c/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1953419469.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f5730bc0/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/4876851', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/4876851/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/who-framed-roger-rabbit-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0096438', 'sublanguageid': 'eng'}, 'Score': 35.57928};{'1953419469': '/home/eva/Diploma/os/96438.srt'}
120363;Toy Story 2;"{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1951708472', 'SubFileName': 'Toy.Story.2.1999.DVDRip.XviD-ShitBusters.srt', 'SubActualCD': '1', 'SubSize': '100592', 'SubHash': '5031ffdde2b41ab1aa27f38975b1f973', 'SubLastTS': '01:32:18', 'SubTSGroup': '45', 'InfoReleaseGroup': 'ShitBusters', 'InfoFormat': 'DVD', 'InfoOther': '', 'IDSubtitle': '3158761', 'UserID': '290810', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2007-11-02 21:18:38', 'SubBad': '0', 'SubRating': '8.7', 'SubSumVotes': '9', 'SubDownloadsCnt': '194630', 'MovieReleaseName': 'Toy.Story.2.1999.DVDRip.XviD-ShitBusters', 'MovieFPS': '23.980', 'IDMovie': '1594', 'IDMovieImdb': '120363', 'MovieName': 'Toy Story 2', 'MovieNameEng': ""Toy Story 2: Collector's Item"", 'MovieYear': '1999', 'MovieImdbRating': '7.9', 'SubFeatured': '0', 'UserNickName': 'evgeni99', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '1', 'UserRank': 'trusted', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '0', 'SeriesIMDBParent': '0', 'SubEncoding': 'CP1252', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': '621f7b3082df52a459fea0264f9dd840', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19b30c55/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1951708472.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f53f0bb8/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/3158761', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/3158761/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/toy-story-2-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0120363', 'sublanguageid': 'eng'}, 'Score': 36.6863}";{'1951708472': '/home/eva/Diploma/os/120363.srt'}
133152;Planet of the Apes;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1951683618', 'SubFileName': 'Planet.Of.The.Apes.2001.DVDRip.XviD.DTS-UnSeeN.srt', 'SubActualCD': '1', 'SubSize': '54328', 'SubHash': 'd4e8ec64bee9d0d301a6cd4fdd748342', 'SubLastTS': '01:54:54', 'SubTSGroup': '1', 'InfoReleaseGroup': 'UnSeeN', 'InfoFormat': 'DVD', 'InfoOther': '', 'IDSubtitle': '3139560', 'UserID': '290810', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2007-08-09 01:58:04', 'SubBad': '0', 'SubRating': '10.0', 'SubSumVotes': '1', 'SubDownloadsCnt': '53128', 'MovieReleaseName': 'Planet.Of.The.Apes.2001.DVDRip.XviD.DTS-UnSeeN', 'MovieFPS': '25.000', 'IDMovie': '4', 'IDMovieImdb': '133152', 'MovieName': 'Planet of the Apes', 'MovieNameEng': 'The Visitor', 'MovieYear': '2001', 'MovieImdbRating': '5.7', 'SubFeatured': '0', 'UserNickName': 'evgeni99', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '1', 'UserRank': 'trusted', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '0', 'SeriesIMDBParent': '0', 'SubEncoding': 'ASCII', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': 'ff196a0acc29d75e14fb59c2bb0d9e9d', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19c10c59/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1951683618.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f5320bb4/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/3139560', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/3139560/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/planet-of-the-apes-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0133152', 'sublanguageid': 'eng'}, 'Score': 35.53128};{'1951683618': '/home/eva/Diploma/os/133152.srt'}
63442;Planet of the Apes;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1952192956', 'SubFileName': 'Planet.of.the.Apes.1968.BluRay.1080p.DTS.x264.dxva-RHPSmusic.ENG.srt', 'SubActualCD': '1', 'SubSize': '77873', 'SubHash': 'b58436dc4ad2b6f5dfd52b319b3cca1e', 'SubLastTS': '01:50:47', 'SubTSGroup': '1', 'InfoReleaseGroup': 'RHPSmusic', 'InfoFormat': 'BluRay', 'InfoOther': '', 'IDSubtitle': '3564957', 'UserID': '103920', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2009-09-23 18:24:30', 'SubBad': '0', 'SubRating': '10.0', 'SubSumVotes': '1', 'SubDownloadsCnt': '21743', 'MovieReleaseName': 'BluRay.1080p.DTS.x264.dxva-RHPSmusic', 'MovieFPS': '23.976', 'IDMovie': '18849', 'IDMovieImdb': '63442', 'MovieName': 'Planet of the Apes', 'MovieNameEng': '', 'MovieYear': '1968', 'MovieImdbRating': '8.0', 'SubFeatured': '0', 'UserNickName': 'ShooCat', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '1', 'SubHearingImpaired': '0', 'UserRank': 'trusted', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '1', 'SeriesIMDBParent': '0', 'SubEncoding': 'CP1252', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': 'b951e2386d6a95232acb0f5323459375', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19ba0c5a/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1952192956.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f5560bc0/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/3564957', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/3564957/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/planet-of-the-apes-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0063442', 'sublanguageid': 'eng'}, 'Score': 35.21743};{'1952192956': '/home/eva/Diploma/os/63442.srt'}
